--------- beginning of system
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.INTERNET in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #51
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.GET_TASKS in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #52
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_COARSE_LOCATION in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #56
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.RECEIVE_BOOT_COMPLETED in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #63
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.VIBRATE in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #64
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.BROADCAST_STICKY in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #70
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.WAKE_LOCK in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #76
11-01 23:42:10.461  1452  1833 W PackageParsing: Ignoring duplicate uses-permissions/uses-permissions-sdk-m: android.permission.ACCESS_COARSE_LOCATION in package: com.uc108.mobile.sdgj.bd1 at: Binary XML file line #77
11-01 23:42:10.464  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #482
11-01 23:42:10.464  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #489
11-01 23:42:10.465  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #496
11-01 23:42:10.465  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #503
11-01 23:42:10.465  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #510
11-01 23:42:10.465  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #527
11-01 23:42:10.465  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #534
11-01 23:42:10.465  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #541
11-01 23:42:10.465  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #549
11-01 23:42:10.465  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #557
11-01 23:42:10.465  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #565
11-01 23:42:10.465  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #573
11-01 23:42:10.466  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #581
11-01 23:42:10.466  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #588
11-01 23:42:10.466  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #595
11-01 23:42:10.466  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #602
11-01 23:42:10.466  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #609
11-01 23:42:10.466  1452  1833 W PackageParsing: No actions in intent-filter at /data/app/vmdl873245753.tmp/base.apk Binary XML file line #615
11-01 23:42:10.571  1452  1677 V StorageManagerService: Package null has legacy storage
11-01 23:42:10.991  1452  1833 V BackupManagerService: [UserID:0] restoreAtInstall pkg=com.uc108.mobile.sdgj.bd1 token=2a restoreSet=0
11-01 23:42:10.992  1452  1833 V BackupManagerService: [UserID:0] Finishing install immediately
11-01 23:42:10.994  1452  1833 D PackageInstallerSession: Marking session 873245753 as applied
11-01 23:42:10.996  1452  1833 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10232; state: DISABLED
11-01 23:42:10.996  1452  1833 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10232; state: DISABLED
11-01 23:42:11.002  1452  2914 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10232; state: DISABLED
11-01 23:42:11.014  1452  1452 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@Azw
11-01 23:42:11.021  1452  1452 V BackupManagerConstants: getFullBackupIntervalMilliseconds(...) returns 86400000
11-01 23:42:11.021  1452  1452 V BackupManagerConstants: getFullBackupRequiredNetworkType(...) returns 2
11-01 23:42:11.021  1452  1452 V BackupManagerConstants: getFullBackupRequireCharging(...) returns true
11-01 23:42:11.029  1452  3208 W BroadcastQueue: u0 Receiving a broadcast in packagecom.android.buyer requires a permissions review
11-01 23:42:11.029  1452  3208 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1452, uid=1000) to com.android.buyer/.mRve
11-01 23:42:11.035  1452  1698 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-01 23:42:11.058  1452  1829 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~WTOV5YUC0rOjeCkjKi1i6Q==/com.uc108.mobile.sdgj.bd1-qpRdDSVSffv8AYqzP8i6cA==/base.apk
11-01 23:42:11.067  1452  1700 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
11-01 23:42:11.067  1452  1700 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.pandasecurity.pandaav/com.pandasecurity.appobserver.AppObserverReceiver
11-01 23:42:11.067  1452  1700 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.impl.PackageMonitorReceiverImpl$RegisteredReceiver
11-01 23:42:11.067  1452  1700 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.android.vending/com.google.android.finsky.packagemonitor.backgroundimpl.BackgroundPackageMonitorReceiverImpl$RegisteredReceiver
11-01 23:42:11.067  1452  1700 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.games.chimera.GamesSystemBroadcastReceiverProxy
11-01 23:42:11.067  1452  1700 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.gass.chimera.PackageChangeBroadcastReceiver
11-01 23:42:11.067  1452  1700 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.gms/.chimera.GmsIntentOperationService$PersistentTrustedReceiver
11-01 23:42:11.067  1452  1700 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.googlequicksearchbox/com.google.android.apps.gsa.googlequicksearchbox.GelStubAppWatcher
11-01 23:42:11.067  1452  1700 W BroadcastQueue: u0 Receiving a broadcast in packagecom.games.mengmeizhitd requires a permissions review
11-01 23:42:11.067  1452  1700 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1452, uid=1000) to com.games.mengmeizhitd/hjnw.ihjnw.i.isqly
11-01 23:42:11.067  1452  1700 W BroadcastQueue: u0 Receiving a broadcast in packagecom.qiuqiu.dfmc requires a permissions review
11-01 23:42:11.067  1452  1700 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1452, uid=1000) to com.qiuqiu.dfmc/cn.jpush.android.service.PushReceiver
11-01 23:42:11.073  1452  1700 W BroadcastQueue: u0 Receiving a broadcast in packagecom.safesys.viruskiller requires a permissions review
11-01 23:42:11.073  1452  1700 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1452, uid=1000) to com.safesys.viruskiller/.ScanPackageBroadcast
11-01 23:42:11.079  1452  5535 D CompatibilityChangeReporter: Compat change id reported: 161252188; UID 10232; state: DISABLED
11-01 23:42:11.089  1452  1700 W BroadcastQueue: u0 Receiving a broadcast in packageio.dcloud.H5BC6BF13 requires a permissions review
11-01 23:42:11.090  1452  1700 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1452, uid=1000) to io.dcloud.H5BC6BF13/io.dcloud.common.adapter.io.DownloadReceiver
11-01 23:42:11.123  1452  1698 W PackageManager: Failed registering loading progress callback. Package is fully loaded.
11-01 23:42:11.131  1452  1698 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-01 23:42:11.164  1452  1452 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@Az8
11-01 23:42:11.165  1452  4164 W BackupTransportManager: Package com.uc108.mobile.sdgj.bd1 enabled setting: 0
11-01 23:42:11.262  1452  5298 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10125, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-01 23:42:11.332  1452  1833 E PackageManager: ERROR: could not load root hash from incremental install
11-01 23:42:11.362  1452  1833 I PackageManager: Integrity check passed for file:///data/app/vmdl331694598.tmp
11-01 23:42:11.366  1452  5301 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10125, switchCode=1, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-01 23:42:11.369  1452  3208 W AppOps  : setUidMode() called with a mode inconsistent with runtime permission state, this is discouraged and you should revoke the runtime permission instead: uid=10125, switchCode=0, mode=4, permission=android.permission.ACCESS_BACKGROUND_LOCATION
11-01 23:42:11.446  1452  1677 V StorageManagerService: Package null has legacy storage
11-01 23:42:11.498  1452  5301 I ActivityTaskManager: START u0 {flg=0x10000000 cmp=com.pandasecurity.pandaav/.DialogFragmentActivity (has extras)} from uid 10194
11-01 23:42:11.521  1452  5131 W ActivityTaskManager: Tried to set launchTime (0) < mLastActivityLaunchTime (518399)
11-01 23:42:11.574  1452  3208 D CoreBackPreview: Window{4944cc3 u0 com.pandasecurity.pandaav/com.pandasecurity.pandaav.DialogFragmentActivity}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@ce4f21f, mPriority=0}
11-01 23:42:11.578  1452  3208 D CoreBackPreview: Window{d080b35 u0 com.pandasecurity.pandaav/com.pandasecurity.pandaav.DialogFragmentActivity}: Setting back callback OnBackInvokedCallbackInfo{mCallback=android.window.IOnBackInvokedCallback$Stub$Proxy@470913b, mPriority=0}
11-01 23:42:11.585  1452  1833 V BackupManagerService: [UserID:0] restoreAtInstall pkg=com.ying.hzblhj token=2b restoreSet=0
11-01 23:42:11.585  1452  1833 V BackupManagerService: [UserID:0] Finishing install immediately
11-01 23:42:11.587  1452  1833 D PackageInstallerSession: Marking session 331694598 as applied
11-01 23:42:11.597  1452  1833 D CompatibilityChangeReporter: Compat change id reported: 168419799; UID 10233; state: DISABLED
11-01 23:42:11.598  1452  1833 D CompatibilityChangeReporter: Compat change id reported: 273564678; UID 10233; state: DISABLED
11-01 23:42:11.603  1452  2914 D CompatibilityChangeReporter: Compat change id reported: 218533173; UID 10233; state: DISABLED
11-01 23:42:11.613  1452  1452 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@A0A
11-01 23:42:11.620  1452  1452 V BackupManagerConstants: getFullBackupIntervalMilliseconds(...) returns 86400000
11-01 23:42:11.621  1452  1452 V BackupManagerConstants: getFullBackupRequiredNetworkType(...) returns 2
11-01 23:42:11.621  1452  1452 V BackupManagerConstants: getFullBackupRequireCharging(...) returns true
11-01 23:42:11.655  1452  1829 E VerityUtils: Failed to measure fs-verity, errno 1: /data/app/~~ldobOTkDJAAbmxNogMuUaA==/com.ying.hzblhj-dPmxlM2DRQTTLagG2RprbQ==/base.apk
11-01 23:42:11.666  1452  1698 W WindowMagnificationMgr: requestConnection duplicated request: connect=false, mConnectionState=DISCONNECTED
11-01 23:42:11.676  1452  1452 I Telecom : DefaultDialerCache: Refreshing default dialer for user 0: now com.google.android.dialer: DDC.oR@A0M
11-01 23:42:11.685  1452  3211 W BroadcastQueue: u0 Receiving a broadcast in packagecom.android.buyer requires a permissions review
11-01 23:42:11.685  1452  3211 W BroadcastQueue: Skipping delivery: permission review required for Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } from null (pid=1452, uid=1000) to com.android.buyer/.mRve
11-01 23:42:11.686  1452  1700 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.google.android.packageinstaller/com.android.packageinstaller.PackageInstalledReceiver
11-01 23:42:11.686  1452  1700 W BroadcastQueue: Background execution not allowed: receiving Intent { act=android.intent.action.PACKAGE_ADDED dat=package: flg=0x4000010 (has extras) } to com.pandasecurity.pandaav/com.pandasecurity.appobserver.AppObserverReceiver
